Manufacturer,PartNo,Description,Type,ForeShoulderLength,ForeShoulderDiameter,ForeOuterDiameter,Length,OuterDiameter,ShoulderLength,ShoulderDiameter,Filled,Material,Mass,Shape
Semroc,BR-918,Balsa Reducer 9 to 18,TRANSITION,0.0127,0.02413,0.0253492,0.0508,0.046736,0.0127,0.04572,1,Balsa,0.009072,cone
Semroc,BR-918 [R],Balsa Reducer 9 to 18 – Reversed,TRANSITION,0.0127,0.04572,0.046736,0.0508,0.0253492,0.0127,0.02413,1,Balsa,0.009072,cone
Semroc,BR-920,Balsa Reducer 9 to 20,TRANSITION,0.0127,0.02413,0.0253492,0.0508,0.051816,0.0127,0.0508,1,Balsa,0.009639,cone
Semroc,BR-920 [R],Balsa Reducer 9 to 20 – Reversed,TRANSITION,0.0127,0.0508,0.051816,0.0508,0.0253492,0.0127,0.02413,1,Balsa,0.009639,cone
Semroc,TA-2050,Balsa Reducer BT-20 to BT-50,TRANSITION,0.0127,0.018034,0.0186944,0.0508,0.0247904,0.0127,0.02413,1,Balsa,0.0048195,cone
Semroc,TA-2050 [R],Balsa Reducer BT-20 to BT-50 – Reversed,TRANSITION,0.0127,0.02413,0.0247904,0.0508,0.0186944,0.0127,0.018034,1,Balsa,0.0048195,cone
Semroc,TA-2050A,Balsa Reducer BT-20 to BT-50,TRANSITION,0.0127,0.018034,0.0186944,0.0254,0.0247904,0.0127,0.02413,1,Balsa,0.0031185,cone
Semroc,TA-2050A [R],Balsa Reducer BT-20 to BT-50 – Reversed,TRANSITION,0.0127,0.02413,0.0247904,0.0254,0.0186944,0.0127,0.018034,1,Balsa,0.0031185,cone
Semroc,TA-2050B,Balsa Reducer BT-20 to BT-50,TRANSITION,0.0127,0.018034,0.0186944,0.0635,0.0247904,0.0127,0.02413,1,Balsa,0.0059535,cone
Semroc,TA-2050B [R],Balsa Reducer BT-20 to BT-50 – Reversed,TRANSITION,0.0127,0.02413,0.0247904,0.0635,0.0186944,0.0127,0.018034,1,Balsa,0.0059535,cone
Semroc,TA-2055,Balsa Reducer BT-20 to BT-55,TRANSITION,0.0127,0.018034,0.0186944,0.0381,0.033655,0.0127,0.0325882,1,Balsa,0.006237,cone
Semroc,TA-2055 [R],Balsa Reducer BT-20 to BT-55 – Reversed,TRANSITION,0.0127,0.0325882,0.033655,0.0381,0.0186944,0.0127,0.018034,1,Balsa,0.006237,cone
Semroc,TA-2060,Balsa Reducer BT-20 to BT-60,TRANSITION,0.0127,0.018034,0.0186944,0.0508,0.0415798,0.0127,0.040513,1,Balsa,0.00567,cone
Semroc,TA-2060 [R],Balsa Reducer BT-20 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.0508,0.0186944,0.0127,0.018034,1,Balsa,0.00567,cone
